Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
1,1,General Agriculture,What is the geographical area of India?,328.74 mha,306 mha,219.15 mha,112.23 mha,None of these,A,The table lists India's geographical area as 328.74 million hectares.
2,1,General Agriculture,Which source contributes the highest percentage to irrigation in India?,Canals (22.96%),Tubewell (48.51%),Rainfed,River lift,None of these,B,"Tubewells account for 48.51% of irrigation, the largest share among listed sources."
3,1,General Agriculture,Which state has the lowest forest cover percentage?,Haryana (3.63%),Goa (0.11%),Rajasthan (10.41%),Madhya Pradesh,None of these,A,Haryana records the lowest forest cover at 3.63% of its area.
4,1,General Agriculture,What is the cropping intensity of India for 2023-24?,155.4%,120.5%,180.2%,140.0%,None of these,A,The table shows a cropping intensity of 155.4% for the year 2023-24.
5,1,General Agriculture,Which state leads in pulses production?,Uttar Pradesh,Madhya Pradesh,Rajasthan,Punjab,None of these,B,Madhya Pradesh is listed as the top pulses-producing state.
6,1,General Agriculture,What percentage of India's geographical area is forest cover as of 2021-22?,21.71%,33%,18.2%,0.001%,None of these,A,Forest area constitutes 21.71% of India's geographical area according to the 2021-22 data.
7,1,General Agriculture,Which of the following statements is correct regarding net irrigated area?,It is 75.46 mha,It is 112.23 mha,It is 219.15 mha,It is 306 mha,None of these,A,The net irrigated area of India is given as 75.46 million hectares.
8,2,General Agriculture,Which Indian state has the highest fertilizer consumption rate among states (kg/ha) as per 2021-22 data?,Punjab,Uttar Pradesh,Puducherry,Maharashtra,None of these,A,Punjab records the highest state-level fertilizer consumption at 190.1 kg/ha for 2021‑22.
9,2,General Agriculture,"Among oilseed crops, which one registers the greatest production in India for 2023-24?",Mustard,Soybean,Groundnut,Sunflower,None of these,A,Mustard leads oilseed production with 13.16 million tonnes in 2023‑24.
10,2,General Agriculture,What is the current all‑India NPK fertilizer use ratio (N:P:K) for 2021‑22?,7.7:3.1:1,5:3:2,8:2:1,6:4:1,None of these,A,The NPK use ratio reported for 2021‑22 is 7.7 : 3.1 : 1.
11,2,General Agriculture,Which state leads India in milk production for the year 2023‑24?,Uttar Pradesh,Rajasthan,Punjab,Gujarat,None of these,A,"Uttar Pradesh is the top milk‑producing state in 2023‑24, followed by Rajasthan."
12,2,General Agriculture,"In the 2022‑23 season, which state had the maximum area under drip irrigation?",Maharashtra,Rajasthan,Punjab,Gujarat,None of these,A,Maharashtra recorded the largest area under drip irrigation during 2022‑23.
13,2,General Agriculture,Which pulse crop has the highest production in India according to the latest estimate?,Gram,Arhar,Moong,Masoor,None of these,A,Gram leads pulse production with 11.57 million tonnes.
14,2,General Agriculture,What is the per‑capita milk availability per day in India for 2023‑24?,459 g,500 g,350 g,600 g,None of these,A,Milk availability per person per day is 459 grams in 2023‑24.
15,3,General Agriculture,Which state leads India in honey production?,Uttar Pradesh,Maharashtra,Rajasthan,Andhra Pradesh,None of these,A,The source lists Uttar Pradesh (UP) as the leading state in honey production.
16,3,General Agriculture,"According to 2022-23 data, which crop receives the highest amount of pesticide usage in India?",Cotton,Wheat,Rice,Maize,None of these,A,The table states that cotton is the crop in which the highest pesticide is used.
17,3,General Agriculture,What is the total pesticide consumption in India for the year 2022-23?,"52,750 tons","45,000 tons","60,000 tons","70,500 tons",None of these,A,"The source records total pesticide use as 52,750 tons."
18,3,General Agriculture,Which animal contributes the largest share to India's total meat production?,Poultry,Goat,Sheep,Buffalo,None of these,A,"Poultry accounts for 51.14% of meat production, the highest among listed animals."
19,3,General Agriculture,"Among fruits, which has the highest production in India (2023-24)?",Banana,Mango,Apple,Orange,None of these,A,Banana leads fruit production with 35.13 million tonnes.
20,3,General Agriculture,What is the per‑hectare pesticide usage in India for 2022-23?,0.6 kg,1.2 kg,0.3 kg,2.0 kg,None of these,A,The per ha. use of pesticide is given as 0.6 kg.
21,3,General Agriculture,Which pesticide was NOT among those banned in December 2020?,Phorate,Carbofuran,Monocrotophos,Dichlorvos,None of these,C,"Monocrotophos was listed among pesticides banned in 2023, not in the December 2020 ban."
22,4,General Agriculture,Which pollutant is identified as the most poisonous in water bodies?,Arsenic,Lead,Mercury,Cadmium,None of these,A,The source lists Arsenic as the most poisonous pollutant in water.
23,4,General Agriculture,The ozone layer reaches its highest concentration in which atmospheric region?,Troposphere,Lower stratosphere,Upper stratosphere,Mesosphere,None of these,B,Maximum ozone concentration is found in the lower stratosphere according to the source.
24,4,General Agriculture,The Forest Conservation Act was enacted in which year?,1975,1980,1985,1990,None of these,B,The source states the Forest Conservation Act was enacted in 1980.
25,4,General Agriculture,Which test is used to assess the self‑purification capacity of a water body?,BOD test,pH test,Turbidity test,Nitrate test,None of these,A,The BOD test is mentioned as the test for water body self‑purification capacity.
26,4,General Agriculture,"Which gases, when released in large quantities, are primarily responsible for acid rain?",CO₂,SO₂ and NO₂,CH₄,O₃,None of these,B,SO₂ and NO₂ are listed as the gases responsible for acid rain.
27,4,General Agriculture,The gas that caused the Bhopal disaster in 1984 is also used in manufacturing which insecticide?,Carbaryl,DDT,Malathion,Endosulfan,None of these,A,"MIC, the gas from the Bhopam tragedy, was used to manufacture the insecticide Carbaryl."
28,4,General Agriculture,"According to the source, what percentage of GDP did agriculture contribute in 2020‑21?",12.5%,15.3%,19.9%,22.4%,None of these,C,The source records agriculture's contribution to GDP as 19.9% for 2020‑21.
29,5,General Agriculture,Which term’s literal meaning combines the Latin word “POMUM” (fruit) and the Greek word “LOGOS” (discourse)?,Agronomy,Pomology,Floriculture,Olericulture,None of these,B,Pomology is formed from Latin “POMUM” (fruit) and Greek “LOGOS” (discourse).
30,5,General Agriculture,The word “Extension” is derived from Latin components meaning which pair?,out and stretching,soil and cultivation,field and manage,garden and culture,None of these,A,“Extension” comes from Latin “EX” (out) and “TENSIO” (stretching).
31,5,General Agriculture,Pedology is the scientific study of what?,Plant diseases,Soil,Crop rotation,Market trends,None of these,B,"Pedology derives from Greek “PEDON” meaning soil or earth, thus it studies soil."
32,5,General Agriculture,Which term specifically refers to the cultivation of flowering and ornamental plants?,Horticulture,Floriculture,Pomology,Olericulture,None of these,B,Floriculture is concerned with the cultivation of flowering and ornamental plants.
33,5,General Agriculture,The Arabic‑derived word “Monsoon” literally means what?,life energy,change of season,ground,to barter or exchange,None of these,B,"“Monsoon” comes from Arabic “MAUSIM”, meaning “change of season”."
34,5,General Agriculture,Biodynamics combines Greek roots that denote which two concepts?,soil and cultivation,life and energy,field and manage,fruit and discourse,None of these,B,Biodynamics is formed from Greek “BIOS” (life) and “DYNAMICS” (energy).
